,mdecloedt,Jordan-Loeser,LukasMMarinovic,whipplem123,SionHu,jmamaril25,lennwgs,viswapurdue,CampbellC2,noah-curran,laurenjank,bzin22,AkaGar,matson3,ecottle,littlex2015,shivans,nbraunec,sanjitsama,Ilyumzhinov,hihms,snugghash,zhao744,aclipfel,ko68,GeoffYart,gshowal
mdecloedt,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
Jordan-Loeser,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
LukasMMarinovic,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
whipplem123,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951
SionHu,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
jmamaril25,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,0.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951
lennwgs,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
viswapurdue,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
CampbellC2,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
noah-curran,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
laurenjank,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
bzin22,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
AkaGar,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951
matson3,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
ecottle,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
littlex2015,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
shivans,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
nbraunec,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
sanjitsama,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,0.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951
Ilyumzhinov,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
hihms,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
snugghash,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951
zhao744,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
aclipfel,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ko68,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
GeoffYart,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,0.0,1.4142135623730951
gshowal,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0
